  X101_PU	X102_PU	X103_PU	X104_PU	X105_PU	X106_PU	X107_PU1	X107_PU2	X108_PU	X109_PU	X110_PU	X111_PU	X112_PU	X113_PU	X114_PU	X115_PU	X116_PU	X117_PU	X118_PU	X119_PU	X120_PU	X121_PU	X122_PU	X123_PU	X124_PU	X125_PU	X126_PU	X127_PU	X128_PU	X129_PU	X130_PU	X131_PU	X132_PU	X133_PU	X134_PU	X135_PU	X136_PU	X137_PU	X138_PU	X139_PU	X140_PU	X141_PU	X142_PU	X143_PU	X144_PU	X145_PU	X146_PU	X147_PU	X148_PU	X149_PU	X150_PU	X151_PU	X152_PU	X153_PU	X154_PU	X155_PU	X156_PU	X157_PU	X158_PU	X159_PU	X160_PU	X161_PU	X162_PU	X163_PU	X164_PU	X165_PU	X166_PU	X167_PU	X168_PU	X169_PU	X170_PU	X171_PU	X172_PU	X173_PU	X174_PU	X175_PU	X176_PU	X177_PU	X178_PU	X179_PU	X180_PU	X181_PU	X182_PU	X183_PU	X184_PU	X450_PU	X451_PU	X452_PU	X453_PU	X454_PU	X455_PU	X456_PU	X457_PU	X458_PU	X459_PU	X460_PU	X461_PU	X462_PU	X463_PU	X464_PU	X465_PU	X466_PU	X467_PU	X468_PU	X469_PU	X470_PU	X471_PU	X472_PU	X473_PU	X474_PU	X475_PU	X476_PU	X477_PU	X478_PU	X479_PU
SV_35	1616	26	120	67	1382	7	69	0	20	0	1093	0	0	11	1038	119	104	0	38	126	0	33	19	12	32	14	81	19	44	19	61	568	24	140	213	264	24	114	100	72	65	32	96	15	31	0	0	3192	54	104	104	0	48	4815	74	9	261	20	35	236	0	0	12	41	63	164	23	35	0	0	27	51	35	12	14	46	25	0	160	6	10	19	6202	40	82	247	84	0	0	1204	0	0	0	0	259	9	0	74	158	0	3	0	25	0	0	12	29	0	0	0	8	31	0	66	3
SV_36	301	161	0	19	1163	42	0	53	117	75	977	0	18	0	5377	0	79	31	147	272	49	9	0	0	70	0	6571	77	0	156	13	12	0	0	7	204	370	1930	21	22696	1107	217	52	75	230	38	0	477	0	75	17	0	172	0	0	51	63	903	14	0	40	12	79	0	62	35	159	52	18	19	0	0	19	106	56	0	175	28	0	0	87	0	0	11	0	0	201	0	0	9	0	0	0	512	1690	100	0	0	18	0	8	17	0	0	0	0	11	272	0	9	0	18	0	0	0
SV_37	1124	159	0	0	55	0	10	0	30	0	112	0	28	0	401	9	97	158	0	15	0	0	0	0	0	9	33	123	14	45	13	458	8	132	24	265	0	21269	342	1398	84	210	40	114	154	88	5	172	91	8	0	0	83	339	5	0	42	45	0	0	93	10	29	154	21	112	86	22	0	31	74	0	0	62	0	29	83	0	0	0	0	0	179	0	0	210	110	0	6	1038	0	0	0	3395	78	10	0	0	70	33	24	0	0	8	1789	0	37	29	0	43	26	31	0	394	0
SV_38	68	186	21	71	1923	5	40	21	18	29	376	106	12	1162	2275	23	1990	63	55	52	57	57	133	119	27	15	73	40	46	17	70	49	0	197	54	88	122	60	390	3916	47	954	40	25	48	35	0	456	28	87	22	36	33	275	27	447	79	1137	14	32	5	5	149	697	43	2700	34	31	21	8	13	29	5	15	80	59	73	30	21	0	39	22	475	28	12	288	77	0	29	5903	63	0	0	7394	1098	27	0	610	189	982	34	4	565	45	26	20	52	1307	0	101	26	42	96	9	31
SV_39	371	9	0	307	0	51	6973	0	0	0	8	0	0	0	0	0	29201	140	0	7	0	165	0	51	5	132	0	0	0	13	269	17	124	0	0	0	8	0	0	0	78	50	288	0	0	12	0	13	0	0	19	30	0	12	129	554	184	64	248	659	0	0	21	82	0	0	43	85	87	0	124	0	135	0	0	89	0	0	29	0	31	118	195	180	0	9	0	0	0	0	12	0	0	0	0	11	0	2055	0	0	63	0	16	0	0	42	0	15	0	0	351	0	142	0	0
SV_40	0	0	0	0	0	0	0	44220	0	13	0	22	25	45	81	0	0	0	57	0	0	0	0	0	24	97	17	0	0	0	0	0	0	0	0	0	438	0	0	0	0	0	0	0	0	19	15	0	0	0	0	0	0	0	0	33	0	97	0	0	0	30	0	0	0	27	0	0	16	0	0	186	0	0	25	0	0	109	0	0	10	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV_41	910	4	0	32	55	0	12	0	0	4	62	0	0	0	204	0	28	0	9	42	0	9	0	0	7	8	665	0	9	0	24	15	17	10	20	38	19	35	0	20	67	0	122	0	55	0	0	0	0	167	9	0	8	3818	0	0	26679	8	18	11	0	0	0	26	10	186	0	154	0	0	16	0	20	0	0	181	0	0	0	7	0	0	2611	14	7	0	9	0	0	445	0	4	0	0	85	85	0	19	118	0	0	15	29	0	718	0	14	3366	0	7	0	14	7	7	0
SV_42	228	102	83	203	1870	16	2008	29	64	43	474	0	74	0	735	17	85	18	102	132	25	53	75	0	55	38	213	82	82	43	61	343	34	163	96	157	127	333	410	5945	204	92	124	40	98	32	0	316	34	70	54	0	73	1877	38	2488	2392	73	54	273	24	0	20	44	41	1041	77	43	0	0	23	45	37	30	22	0	93	67	83	14	50	15	1096	38	43	90	108	0	0	3251	146	0	0	0	876	63	0	164	114	39	0	0	133	15	31	37	0	1393	0	21	0	114	10	56	0
SV_43	0	0	0	0	2047	50	0	82	0	211	0	0	84	0	55	0	0	0	215	0	30	0	0	0	83	0	55	26	0	25	53	0	0	63	0	28	93	29	0	0	0	60	0	0	0	126	127	327	0	0	214	0	0	0	0	74	0	27639	0	0	22	30	0	0	0	54	0	0	113	43	0	0	0	45	88	0	8970	82	0	0	86	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV_44	276	9	0	242	40	0	0	0	39	0	417	0	4	0	433	0	88	84	51	157	8	0	0	0	5	0	5550	35	15	9	0	423	10	6	11	121	125	1636	350	19241	1076	14	74	17	82	17	0	55	9	83	0	0	14	9534	0	0	0	0	0	56	0	0	0	0	36	226	13	59	0	0	18	0	6	0	8	0	9	19	4	0	0	0	493	0	0	66	40	0	0	97	0	0	0	23	191	0	0	0	10	0	0	0	0	0	44	0	6	0	0	0	0	23	0	0	0
